,Name,Club,Crossing,Finishing,HeadingAccuracy,Volleys,Dribbling,Curve,BallControl,Acceleration,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Positioning,Vision,Marking
650,J. Guilavogui,VfL Wolfsburg,52,49,85,49,67,42,73,65,50,78,76,77,82,66,63,65,80
651,Sérgio Oliveira,FC Porto,76,67,64,73,77,73,80,62,67,87,56,74,65,87,72,81,71
652,D. Caligiuri,FC Schalke 04,83,72,65,68,81,80,80,77,74,78,76,85,70,81,75,77,70
653,C. Wilson,Bournemouth,52,83,73,69,74,63,77,87,74,76,65,72,75,66,82,71,29
654,P. Jones,Manchester United,60,44,78,49,59,38,64,54,59,68,82,64,79,59,42,54,76
655,Borja García,Girona FC,70,77,53,59,80,67,81,81,77,67,72,67,67,78,77,79,45
656,Y. Belhanda,Galatasaray SK,79,74,67,69,84,78,83,75,78,78,77,84,63,79,70,78,50
657,G. Pezzella,Fiorentina,40,48,82,40,54,46,66,52,48,54,84,55,77,50,50,22,78
658,Jaume Costa,Villarreal CF,80,53,68,38,69,67,78,79,78,75,73,78,63,62,66,57,76
659,C. Tosun,Everton,64,79,82,74,75,72,78,72,66,83,80,73,74,75,81,61,33
660,Escudero,Sevilla FC,81,56,68,51,68,69,75,72,77,81,74,83,69,63,63,56,80
661,Kike García,SD Eibar,53,80,80,81,75,42,80,65,54,82,74,71,79,75,79,65,35
662,Elkeson,Shanghai SIPG FC,67,75,79,76,76,76,77,86,74,86,76,79,77,72,77,78,30
663,Ricardo Goulart,Guangzhou Evergrande Taobao FC,73,77,76,74,78,70,81,80,80,76,66,75,65,74,83,77,37
664,J. Guðmundsson,Burnley,82,70,64,72,81,79,79,79,76,84,78,78,70,74,74,79,58
665,N. Clyne,Liverpool,78,54,68,45,76,64,78,77,75,74,69,76,67,69,72,64,78
666,M. Hitz,Borussia Dortmund,12,27,18,26,13,15,17,41,31,38,67,39,78,12,8,15,13
667,De Marcos,Athletic Club de Bilbao,77,59,59,57,75,77,78,79,74,73,78,93,73,56,78,66,69
668,B. Mee,Burnley,63,30,79,29,63,45,65,62,70,60,93,70,82,39,38,60,79
669,Rafael,Olympique Lyonnais,77,53,64,59,80,77,78,84,83,72,82,82,73,62,79,72,73
670,Iborra,Leicester City,53,69,79,66,70,66,81,39,31,81,64,66,84,65,77,77,79
671,J. Wilshere,West Ham United,73,62,58,64,81,77,82,68,83,74,66,68,60,72,77,81,62
672,B. Hübner,TSG 1899 Hoffenheim,47,20,85,45,58,40,63,54,48,52,61,63,79,22,41,51,81
673,Souza,Al Ahli,63,55,75,44,71,68,78,68,66,77,65,92,83,71,66,67,79
674,F. Coquelin,Valencia CF,60,54,60,53,72,55,78,70,81,71,81,78,79,57,62,67,78
675,Alex Teixeira,Jiangsu Suning FC,63,77,54,78,80,73,81,93,83,72,82,83,72,75,80,79,30
676,A. Dzagoev,PFC CSKA Moscow,75,70,67,72,78,74,81,81,72,76,73,74,66,71,76,81,69
677,I. Smolnikov,0,73,61,69,57,72,49,72,84,76,67,85,93,68,57,77,72,76
678,Y. M'Vila,AS Saint-Étienne,62,56,61,56,73,70,76,74,65,68,71,81,75,67,41,72,73
679,K. Asamoah,Inter,78,55,68,76,82,72,81,77,83,84,78,76,75,78,78,76,80
680,R. Zieler,VfB Stuttgart,15,10,13,12,12,11,22,46,41,21,69,32,55,14,15,42,20
681,D. Drinkwater,Chelsea,64,60,61,69,75,72,78,63,76,77,54,77,69,72,71,79,69
682,N. Kalinić,Atlético Madrid,60,83,78,75,73,64,78,67,58,76,68,71,77,60,87,66,46
683,Mariano,Galatasaray SK,83,54,59,58,75,82,82,87,73,84,70,92,70,68,74,69,71
684,S. Feghouli,Galatasaray SK,78,68,60,68,85,62,82,83,76,79,72,72,58,74,77,75,30
685,Adrien Silva,Leicester City,77,67,61,75,78,79,80,64,68,83,53,69,59,79,73,78,60
686,Fernando,Galatasaray SK,62,54,70,41,68,65,72,61,57,76,74,89,80,68,59,62,78
687,I. Traoré,Borussia Mönchengladbach,80,66,44,75,85,85,80,89,94,80,71,63,43,76,76,76,48
688,G. Mercado,Sevilla FC,68,60,76,66,57,68,70,75,60,68,76,77,82,58,63,60,77
689,N. Petersen,SC Freiburg,58,84,82,83,64,57,70,57,57,79,66,81,76,65,85,61,46
690,O. Karnezis,Napoli,19,16,24,14,15,11,23,44,49,22,64,33,66,18,10,47,20
691,M. Sakho,Crystal Palace,58,23,74,20,50,50,63,49,54,51,75,70,91,38,36,53,74
692,Sidnei,Real Betis,58,46,75,33,59,36,76,65,38,61,79,68,90,50,44,44,75
693,S. Jovetić,AS Monaco,72,80,74,79,82,85,83,68,68,81,70,68,72,80,80,82,31
694,Eder,Jiangsu Suning FC,72,78,60,76,83,80,83,85,80,80,50,78,60,76,83,78,31
695,J. Hernández,West Ham United,64,84,79,74,73,67,77,77,79,75,83,66,53,66,86,70,21
696,Fabricio,Fulham,15,14,14,13,25,19,35,59,48,25,76,42,56,14,14,51,22
697,Kiko Casilla,Real Madrid,24,14,13,12,12,25,20,32,58,24,69,43,79,13,12,52,26
698,Ángel,Getafe CF,56,79,74,78,80,49,81,74,76,81,76,66,64,80,79,62,42
699,M. Schneiderlin,Everton,65,58,69,56,68,68,80,58,69,71,68,79,75,56,63,69,77
700,M. Fellaini,Manchester United,61,73,93,68,67,64,82,41,49,75,64,75,91,65,84,73,77
701,P. Wernbloom,PAOK,58,70,86,53,68,54,74,55,55,81,56,89,86,72,75,71,73
702,D. Ospina,Napoli,11,10,15,12,12,10,32,34,50,35,75,29,38,12,16,50,11
703,S. Mignolet,Liverpool,11,11,16,16,14,16,26,50,52,45,69,31,72,16,14,43,7
704,A. Begović,Bournemouth,14,19,12,12,16,17,24,52,40,28,38,36,80,12,11,34,18
705,N. Şahin,SV Werder Bremen,79,61,64,80,76,82,81,40,73,83,71,60,71,77,67,82,74
706,R. Bertrand,Southampton,82,50,68,43,77,74,78,78,69,59,70,78,70,54,63,51,76
707,A. Masiello,Atalanta,60,23,76,52,54,47,62,58,56,63,79,63,75,41,30,36,78
708,T. Walcott,Everton,72,74,58,71,81,76,78,89,77,76,65,69,56,65,77,72,37
709,Charles,SD Eibar,51,80,79,84,79,78,82,64,69,83,93,63,71,78,83,55,35
710,T. Heaton,Burnley,17,12,16,12,17,15,28,56,52,14,73,40,66,12,12,46,16
711,H. Ben Arfa,Stade Rennais FC,70,70,46,72,88,76,80,77,79,78,74,51,65,75,72,78,31
712,D. Abraham,Eintracht Frankfurt,44,46,78,65,44,45,59,76,55,74,77,68,80,63,31,49,78
713,E. Lavezzi,Hebei China Fortune FC,77,80,57,77,82,83,83,85,85,79,82,68,71,78,82,83,40
714,S. Kalou,Hertha BSC,67,82,77,78,87,78,86,67,76,76,76,64,67,67,83,78,50
715,J. Farfán,Lokomotiv Moscow,80,73,65,69,78,80,79,84,66,75,76,69,78,72,75,80,17
716,R. Babel,Beşiktaş JK,72,77,71,67,82,77,79,83,74,85,82,84,78,82,77,74,39
717,A. Young,Manchester United,84,64,57,71,77,86,79,77,76,75,55,75,67,69,67,76,75
718,J. Hart,Burnley,14,14,10,19,23,17,20,56,32,40,69,28,61,19,14,42,16
719,L. López,Racing Club,66,80,76,74,78,78,80,77,80,77,84,77,75,75,82,72,30
720,D. Baier,FC Augsburg,73,52,52,58,74,62,80,53,75,68,78,72,67,44,58,80,72
721,B. Yılmaz,Trabzonspor,68,82,72,77,69,60,69,81,48,85,66,69,79,74,85,64,29
722,R. Adler,1. FSV Mainz 05,13,14,10,18,13,12,20,42,43,23,69,22,66,14,7,38,9
723,S. Lichtsteiner,Arsenal,78,45,70,62,76,68,76,65,77,74,73,76,70,68,66,62,78
724,E. Adebayor,Medipol Başakşehir FK,58,80,92,76,72,64,74,67,52,78,76,57,82,66,78,76,25
725,E. Belözoğlu,Medipol Başakşehir FK,80,68,43,69,78,83,82,54,81,77,72,61,65,76,63,86,65
726,Loren,Real Betis,36,86,76,73,79,60,81,63,57,78,68,60,61,80,75,60,55
727,Éder Militão,FC Porto,72,48,75,34,68,58,70,77,67,62,86,85,76,42,59,59,76
728,F. Chiesa,Fiorentina,70,70,50,68,83,74,80,86,77,81,55,78,64,78,76,71,65
729,M. Lazzari,SPAL,78,66,44,58,79,65,79,84,70,53,36,78,49,57,73,72,58
730,A. Hakimi,Borussia Dortmund,76,59,64,48,78,65,78,89,75,75,69,84,73,62,71,63,74
731,S. Nakajima,Portimonense SC,66,73,40,76,83,80,78,93,95,77,70,88,34,71,75,75,28
732,L. Jović,Eintracht Frankfurt,63,81,76,80,76,72,77,75,65,79,66,69,76,72,78,65,19
733,S. Ascacíbar,VfB Stuttgart,51,39,55,47,64,47,65,75,87,53,82,92,61,67,31,60,81
734,A. Lafont,Fiorentina,13,6,13,9,14,13,10,48,53,23,73,40,70,9,4,47,20
735,T. Alexander-Arnold,Liverpool,83,56,59,41,72,74,72,82,74,70,66,79,62,63,62,72,75
736,F. Krovinović,SL Benfica,65,64,54,64,79,76,81,68,75,78,54,71,60,72,74,80,61
737,Sidney Pessinho,Internacional,71,56,62,45,72,81,71,72,55,73,61,76,88,72,52,72,80
738,Everticinho,Grêmio,76,69,60,71,76,76,75,84,70,72,61,88,68,74,76,64,78
739,Claudio Coíntra,Internacional,74,73,45,77,75,86,76,87,83,74,58,75,57,68,78,79,17
740,Ronaldo Esler,Atlético Mineiro,78,45,60,55,76,54,74,88,90,78,59,76,33,68,69,68,75
741,P. Lees-Melou,OGC Nice,78,70,59,53,79,74,79,74,59,70,61,86,71,70,77,78,70
742,B. Chilwell,Leicester City,76,43,64,42,76,67,77,81,71,69,77,84,68,38,74,66,74
743,João Novais,SC Braga,78,72,45,67,78,78,77,79,76,84,65,88,68,81,76,78,43
744,D. Calabria,Milan,79,30,64,58,73,76,74,81,78,62,69,81,64,48,42,50,78
745,F. Mendy,Olympique Lyonnais,74,62,69,43,81,71,78,88,78,69,78,82,76,64,75,73,69
746,L. Pellegrini,Roma,72,60,71,69,76,69,79,77,69,76,67,76,69,72,74,76,70
747,Soares,FC Porto,52,76,77,73,75,69,77,79,65,77,78,76,78,68,84,58,50
748,Daniel Podence,Olympiacos CFP,63,64,42,57,84,75,81,94,94,65,66,72,30,55,76,77,42
749,M. Díaz,Club Atlético Huracán,17,11,15,11,13,13,16,39,35,25,53,35,74,13,14,38,17
750,G. Martínez,River Plate,74,70,32,72,86,76,81,90,88,80,53,72,61,82,71,72,41
751,M. Eggestein,SV Werder Bremen,65,61,65,46,77,58,79,66,67,77,53,96,74,80,69,74,72
752,Trezeguet,Kasimpaşa SK,78,75,42,63,83,63,78,82,70,76,65,78,67,76,69,69,39
753,N. Amiri,TSG 1899 Hoffenheim,73,65,43,65,85,76,81,77,76,70,66,77,66,70,69,78,53
754,Vallejo,Real Madrid,41,44,74,36,56,29,67,67,69,49,77,66,69,31,32,33,79
755,J. Gomez,Liverpool,69,26,68,24,67,41,68,80,66,41,66,74,80,26,51,52,78
756,Diogo Jota,Wolverhampton Wanderers,65,74,56,71,81,76,83,87,87,78,66,82,72,71,81,72,49
757,Joan Jordán,SD Eibar,65,75,47,59,78,71,79,65,65,74,50,75,66,76,71,78,67
758,Dyego Sousa,SC Braga,48,81,83,75,74,46,76,58,39,84,74,82,83,75,80,53,23
759,A. Marušić,Lazio,78,66,72,68,78,72,77,86,67,81,80,79,79,77,73,72,72
760,David Soria,Getafe CF,15,19,24,19,16,23,19,49,42,54,60,43,76,18,12,45,22
761,V. Rongier,FC Nantes,62,70,41,75,78,76,80,69,90,74,73,71,55,79,74,77,75
762,W. Weghorst,VfL Wolfsburg,42,81,84,67,64,40,76,53,44,80,79,84,86,62,82,62,37
763,O. Al Soma,Al Ahli,66,80,77,67,71,69,76,73,67,84,63,82,89,76,77,70,31
764,M. Nakamba,Club Brugge KV,46,36,55,41,71,45,73,78,78,80,78,90,80,54,55,68,80
765,Petros,Al Nassr,60,61,57,46,76,55,79,72,70,80,61,88,71,65,66,74,41
766,Pablo Maffeo,VfB Stuttgart,79,53,68,21,80,71,81,87,84,57,61,74,65,52,67,64,76
767,Y. Mina,Everton,43,51,86,41,60,38,53,45,34,70,70,79,87,50,48,54,79
768,M. Dúbravka,Newcastle United,12,10,12,11,19,15,33,49,60,22,73,40,60,17,10,54,19
769,Diego Carlos,FC Nantes,35,26,75,34,64,47,69,70,57,73,80,64,84,57,52,51,78
770,D. Djené,Getafe CF,60,29,77,22,44,51,68,76,72,67,79,77,70,27,49,39,72
771,G. Simeone,Fiorentina,40,80,80,72,76,69,76,79,74,79,84,74,72,66,80,60,51
772,M. Meza,Independiente,72,73,67,66,86,82,79,80,75,76,67,81,70,74,71,76,68
773,Bastos,Lazio,36,30,74,31,55,35,62,73,76,49,71,65,82,41,31,28,80
774,S. Lobotka,RC Celta,63,59,41,43,77,68,82,70,84,62,82,86,52,65,65,76,65
775,Y. Tielemans,AS Monaco,76,73,57,78,76,84,81,52,76,88,65,73,69,86,74,81,66
776,Marcelo Goiano,SC Braga,79,34,68,40,77,68,76,77,74,71,72,86,64,65,69,52,76
777,K. Tete,Olympique Lyonnais,74,42,74,36,68,52,70,74,73,60,77,77,76,41,60,58,77
778,Capa,Athletic Club de Bilbao,77,56,61,52,74,55,76,82,86,81,77,92,80,62,76,72,68
779,M. Sportiello,Frosinone,13,18,18,12,19,14,22,48,58,19,68,37,66,17,18,44,26
780,Jemerson,AS Monaco,30,28,78,46,54,26,63,70,58,45,83,67,78,35,26,46,80
781,N. Maksimović,Napoli,45,22,79,28,49,29,61,62,58,39,67,67,86,29,29,31,79
782,D. Zapata,Atalanta,44,81,78,76,72,48,76,68,58,86,79,66,91,64,78,46,52
783,J. Correa,Lazio,74,74,43,75,85,79,83,76,61,76,32,75,74,71,74,75,39
784,E. Rigoni,Atalanta,75,73,65,71,82,81,77,90,68,71,57,80,58,76,75,74,51
785,C. Izquierdoz,Boca Juniors,44,45,82,50,36,32,62,52,52,55,85,84,80,54,35,33,78
786,W. Barrios,Boca Juniors,59,30,59,22,66,31,69,76,73,53,78,93,77,39,60,65,85
787,J. Mojica,Girona FC,79,62,55,43,78,74,79,89,61,80,73,70,70,61,69,65,67
788,A. Selikhov,Spartak Moscow,16,14,17,15,19,14,25,33,50,25,70,24,65,19,15,58,15
789,A. Iwobi,Arsenal,67,64,42,48,84,50,84,80,75,67,47,74,70,54,75,80,30
790,D. Laxalt,Milan,78,60,43,49,77,61,78,86,77,74,65,93,60,66,68,68,64
791,N. Bentaleb,FC Schalke 04,65,62,51,67,82,69,81,66,71,83,53,75,72,79,68,80,65
792,N. Stark,Hertha BSC,54,50,83,48,65,43,70,74,62,63,64,70,79,55,52,71,78
793,M. Lemina,Southampton,72,55,68,68,81,72,82,76,74,83,46,75,73,78,68,74,70
794,L. Dendoncker,Wolverhampton Wanderers,75,66,78,71,68,72,73,61,53,86,66,89,87,76,71,76,76
795,Ricardo Esgaio,SC Braga,82,65,56,59,79,79,80,75,83,63,73,87,59,64,75,75,66
796,P. Sisto,RC Celta,78,76,51,65,86,74,80,81,84,82,82,80,64,72,73,75,35
797,P. Max,FC Augsburg,91,40,59,43,73,80,78,78,74,75,66,85,66,46,62,70,69
798,R. Gagliardini,Inter,64,54,73,68,75,68,77,68,62,76,64,85,71,73,68,73,77
799,Pere Pons,Girona FC,60,65,58,43,75,52,79,68,70,62,66,81,68,64,64,74,60
800,D. Berardi,Sassuolo,74,74,62,78,80,70,85,79,73,83,66,70,65,79,77,71,45
801,M. Halstenberg,RB Leipzig,79,57,78,55,69,77,74,66,59,79,83,79,78,67,61,54,80
802,J. Quintero,River Plate,75,66,42,65,83,80,83,73,91,83,55,44,38,73,63,85,52
803,Tiago Volpi,Querétaro,20,14,13,20,16,50,24,59,47,70,75,36,72,14,10,39,16
804,Óliver Torres,FC Porto,73,70,52,60,83,77,82,72,78,65,62,71,38,69,76,80,66
805,Omar Mascarell,FC Schalke 04,50,53,56,54,75,61,80,65,68,74,73,79,75,69,62,74,77
806,H. Sakai,Olympique de Marseille,74,33,71,41,64,67,69,78,69,72,75,90,74,58,74,60,77
807,Andreas Pereira,Manchester United,78,74,56,72,81,80,81,78,78,73,62,75,68,77,71,78,67
808,A. Januzaj,Real Sociedad,77,71,23,67,81,74,80,79,71,72,61,68,59,70,76,78,30
809,B. Cristante,Roma,68,68,70,67,78,65,81,63,54,74,58,69,70,74,76,76,70
810,Matheus,SC Braga,15,12,14,13,12,21,22,44,48,21,63,32,71,15,12,52,16
811,B. Traoré,Olympique Lyonnais,65,75,64,75,85,80,87,85,71,76,78,75,64,66,79,74,38
812,Y. Poulsen,RB Leipzig,69,72,84,68,75,71,71,79,55,73,83,87,78,58,80,65,55
813,L. Trossard,KRC Genk,75,80,64,76,83,81,78,92,87,77,89,73,60,81,75,71,40
814,M. Arnold,VfL Wolfsburg,70,77,54,85,78,77,79,66,67,87,52,77,67,87,75,74,75
815,M. De Sciglio,Juventus,78,33,68,41,74,75,75,75,77,67,77,87,68,51,64,60,79
816,Leo Baptistao,RCD Espanyol,71,75,75,77,80,70,80,75,68,74,70,74,71,74,83,74,36
817,V. Chiricheş,Napoli,46,56,73,70,59,46,66,66,72,82,73,66,72,72,36,46,83
818,L. Pavoletti,Cagliari,33,81,93,80,66,49,74,66,59,80,86,66,84,56,80,52,49
819,A. Cragno,Cagliari,15,12,12,13,13,11,21,41,43,19,74,43,55,17,15,42,20
820,L. Castro,Cagliari,78,58,58,67,80,76,82,78,78,77,66,75,68,74,75,77,52
821,N. Füllkrug,Hannover 96,63,81,80,71,70,69,74,65,52,79,69,73,83,72,82,61,47
822,F. Fajr,Stade Malherbe Caen,77,72,49,62,76,81,79,67,71,74,37,66,67,78,69,79,70
823,R. Jiménez,Wolverhampton Wanderers,69,76,81,77,74,71,74,69,49,79,68,76,78,68,83,71,46
824,E. Sala,FC Nantes,59,80,81,77,75,72,75,56,55,79,77,92,84,75,82,63,62
825,S. García,Godoy Cruz,55,82,75,71,71,68,76,67,68,82,75,75,88,73,84,71,20
826,S. Arias,Atlético Madrid,74,51,67,43,74,31,76,84,77,56,82,90,69,50,70,64,74
827,B. Reynet,Toulouse Football Club,15,17,14,19,11,10,21,41,24,18,62,34,68,15,12,16,10
828,Pozuelo,KRC Genk,65,66,39,62,81,75,83,62,82,66,60,75,50,71,74,82,46
829,A. Trebel,RSC Anderlecht,75,59,33,71,77,73,77,79,87,80,77,82,69,76,72,77,67
830,J. Lascelles,Newcastle United,46,23,79,33,50,29,65,60,51,40,85,70,84,27,23,40,80
831,T. Kongolo,Huddersfield Town,67,27,74,40,67,63,72,72,62,67,91,71,79,52,49,49,77
832,A. Carrillo,Al Hilal,78,73,70,74,85,78,82,86,76,76,73,67,72,75,74,73,19
833,Álvaro,Villarreal CF,51,22,73,31,48,47,67,72,72,48,92,78,74,26,45,39,76
834,G. Defrel,Sampdoria,70,79,68,75,83,67,82,88,72,79,42,59,58,78,81,75,50
835,Fernando,Spartak Moscow,60,63,62,45,70,82,76,70,81,76,80,80,69,76,47,75,69
836,V. Darida,Hertha BSC,76,68,41,65,78,78,81,70,88,76,77,94,48,76,72,77,72
837,R. Saponara,Sampdoria,74,64,58,64,83,80,85,69,71,72,64,68,69,66,78,80,61
838,Pedro Mendes,Montpellier HSC,25,25,73,22,62,48,63,66,53,67,74,75,79,34,25,32,80
839,C. Schindler,Huddersfield Town,49,25,74,30,42,45,68,60,57,52,74,68,78,24,27,51,81
840,N. Chadli,AS Monaco,74,73,67,73,82,77,80,74,54,81,71,75,83,75,77,75,41
841,Arbilla,SD Eibar,75,40,73,48,63,75,76,55,68,81,81,74,78,68,57,57,72
842,L. Dunk,Brighton & Hove Albion,32,37,76,24,60,23,68,38,42,72,72,64,82,21,30,45,80
843,P. Hernández,Independiente,54,66,53,69,80,75,79,69,44,75,69,68,80,73,76,80,55
844,J. Guidetti,Deportivo Alavés,67,76,75,79,76,68,77,65,60,84,70,64,82,80,79,65,55
845,Sergi Gómez,Sevilla FC,45,35,74,37,56,49,75,46,50,45,69,68,78,47,52,56,80
846,Oriol Romeu,Southampton,37,25,67,35,59,49,72,53,59,60,65,75,82,43,48,65,77
847,Lucas Pérez,West Ham United,74,78,68,78,79,82,80,76,73,82,63,70,69,79,79,81,25
848,B. Natcho,Olympiacos CFP,76,70,57,65,73,75,81,57,79,73,54,66,70,74,68,80,70
849,Cláudio Ramos,CD Tondela,10,14,21,10,16,15,20,50,65,31,76,47,77,16,10,55,21
850,F. Lejeune,Newcastle United,51,50,75,42,62,47,73,42,57,75,76,73,83,66,46,46,80
851,G. Krychowiak,Lokomotiv Moscow,59,42,75,40,65,52,77,61,52,81,74,75,83,69,52,68,72
852,N. Lodeiro,Seattle Sounders FC,81,65,42,70,78,81,81,71,78,71,65,87,61,76,75,78,44
853,O. Özyakup,Beşiktaş JK,77,62,50,72,78,83,80,71,79,80,72,76,62,76,74,80,60
854,C. Tévez,Boca Juniors,72,77,54,74,79,74,77,73,74,83,56,73,74,70,78,78,35
855,K. Papadopoulos,Hamburger SV,44,24,88,44,40,40,52,60,60,68,91,61,90,58,35,44,77
856,M. Gradel,Toulouse Football Club,71,78,66,69,82,67,81,85,70,74,66,71,59,78,76,74,31
857,M. Debuchy,AS Saint-Étienne,77,62,74,62,74,74,75,74,73,74,81,74,72,68,63,64,78
858,V. Moses,Chelsea,76,69,70,64,82,75,81,79,82,74,66,85,69,69,76,72,74
859,Z. Junuzović,FC Red Bull Salzburg,83,68,58,82,80,88,80,76,91,78,68,92,65,78,70,77,68
860,Granero,RCD Espanyol,78,73,59,58,77,80,80,55,67,77,53,55,68,77,71,78,58
861,J. Baumgartlinger,Bayer 04 Leverkusen,63,39,69,50,65,47,74,68,64,73,80,88,78,39,62,64,79
862,Fábio Coentrão,Rio Ave FC,80,65,63,63,81,78,79,77,76,69,79,83,66,67,76,76,68
863,B. Costil,FC Girondins de Bordeaux,11,14,15,12,13,12,12,49,45,22,49,28,65,15,12,44,16
864,Hilton,Montpellier HSC,60,45,79,51,63,42,73,33,60,55,79,54,76,58,50,67,83
865,N. Gudelj,Sporting CP,74,58,75,69,64,80,75,59,57,85,67,91,88,82,67,71,72
866,L. Pratto,River Plate,68,76,76,73,72,57,76,66,64,84,70,74,91,74,80,73,48
867,E. Hernández,Cruz Azul,80,75,49,72,80,75,83,74,81,73,70,77,58,74,70,80,50
868,Jurado,Al Ahli,79,77,47,69,80,80,79,71,70,76,65,60,57,75,78,79,30
869,R. Cabella,AS Saint-Étienne,73,70,58,70,82,75,80,83,80,73,41,73,50,73,69,74,31
870,Rafael Tolói,Atalanta,44,28,76,30,58,41,66,66,66,75,76,53,69,62,40,50,77
871,C. Bravo,Manchester City,12,13,18,11,22,25,41,58,62,22,81,41,69,17,16,69,15
872,Hernanes,Hebei China Fortune FC,79,57,60,76,74,84,79,64,75,85,61,71,72,77,56,86,72
873,K. Honda,Melbourne Victory,75,65,72,72,82,88,84,76,77,84,83,68,69,80,74,81,59
874,A. Dzyuba,0,61,79,86,74,71,64,77,66,32,78,63,77,93,68,78,73,21
875,J. Holebas,Watford,83,57,74,50,73,69,77,74,73,82,73,79,73,72,62,64,75
876,Javi García,Real Betis,47,59,86,59,66,55,77,62,53,82,91,76,79,54,62,63,70
877,Sergio,RC Celta,21,11,9,11,13,20,21,44,48,24,64,33,62,11,12,38,20
878,M. Cáceres,Lazio,69,37,76,65,60,68,66,76,74,70,91,69,72,59,50,58,80
879,Daniel Carriço,Sevilla FC,61,48,76,47,58,39,64,47,68,66,92,59,77,50,57,62,79
880,J. Cork,Burnley,68,58,75,60,75,75,79,57,71,74,75,92,77,59,68,76,80
881,J. Tomkins,Crystal Palace,45,29,78,28,50,33,59,41,50,40,76,65,79,29,38,54,81
882,Guilherme,Lokomotiv Moscow,13,11,13,13,16,19,21,37,30,22,62,34,71,16,13,55,14
883,Gervinho,Parma,75,72,63,70,80,69,78,91,76,69,62,78,55,64,78,74,35
884,J. Shelvey,Newcastle United,73,67,67,59,74,69,76,63,65,85,64,76,71,81,70,83,60
885,R. Eremenko,Spartak Moscow,75,69,43,85,78,74,80,69,73,82,71,66,72,78,73,85,59
886,R. Vormer,Club Brugge KV,79,71,70,74,67,75,72,67,67,79,68,92,75,74,79,77,76
887,J. Lens,Beşiktaş JK,79,74,63,85,80,71,78,90,79,80,74,74,77,75,71,75,35
888,Adriano,Beşiktaş JK,81,59,63,53,81,84,82,77,76,87,75,74,67,87,77,69,78
889,S. Cook,Bournemouth,41,31,80,33,54,31,67,55,65,48,75,68,78,23,21,45,77
890,L. Podolski,Vissel Kobe,75,77,66,88,78,80,78,76,70,92,71,70,83,80,75,79,54
891,C. Ansaldi,Torino,78,57,63,51,80,77,79,75,66,60,70,78,67,66,65,73,71
892,Manu García,Deportivo Alavés,65,60,70,42,62,52,75,46,67,74,79,81,78,56,61,66,75
893,R. Alessandrini,LA Galaxy,78,74,53,75,79,78,79,87,89,83,61,74,60,82,75,74,53
894,J. Ward-Prowse,Southampton,89,61,57,51,73,88,82,66,77,74,66,78,57,70,65,82,62
895,M. Harnik,SV Werder Bremen,68,76,77,76,74,73,71,75,64,78,90,79,77,69,78,68,54
896,B. Moukandjo,Beijing Renhe FC,75,79,66,70,77,71,75,91,70,75,71,80,65,64,77,65,34
897,G. Pereiro,PSV,73,72,73,68,79,72,83,72,56,81,70,67,75,76,75,77,36
898,G. Castro,VfB Stuttgart,77,66,47,66,77,79,78,70,78,75,73,71,65,73,73,78,74
899,Aarón Martín,1. FSV Mainz 05,76,33,73,21,71,62,75,76,67,55,61,77,60,28,60,59,78
900,F. Johnson,Borussia Mönchengladbach,76,70,60,66,79,72,76,78,72,69,69,76,60,58,74,73,62
901,L. López,Genoa,33,48,79,50,61,37,62,64,55,67,87,55,79,44,38,41,76
902,M. Dossevi,Toulouse Football Club,82,62,54,62,78,69,77,80,76,71,76,71,58,71,75,76,41
903,Caiuby,FC Augsburg,72,73,80,59,74,68,74,77,66,85,91,86,81,72,76,73,37
904,Gabriel,SL Benfica,68,68,75,61,81,74,82,67,67,77,81,73,79,78,70,77,72
905,Iván Ramis,SD Eibar,45,54,76,59,51,67,70,34,50,76,76,67,90,65,52,50,75
906,M. Suchý,FC Basel 1893,43,48,77,43,60,32,65,63,65,64,79,80,84,52,32,50,74
907,T. Vilhena,Feyenoord,75,70,67,68,77,74,80,75,83,80,76,85,75,77,70,74,66
908,E. Çolak,Al Wehda,77,71,65,70,77,75,80,71,90,71,37,69,40,73,72,77,35
909,V. Germain,Olympique de Marseille,74,78,78,76,73,77,75,75,71,77,80,80,61,76,80,79,45
910,G. Hoarau,BSC Young Boys,66,83,84,75,68,66,72,45,59,77,70,67,89,69,82,69,32
911,Sergio García,RCD Espanyol,77,76,70,72,82,80,78,68,73,77,54,54,72,74,81,77,40
912,E. Choupo-Moting,Paris Saint-Germain,65,75,74,75,83,74,80,76,66,77,67,76,76,64,77,70,31
913,J. Pinola,River Plate,65,38,74,46,63,65,65,68,67,71,81,67,81,59,59,58,79
914,J. Hendrix,PSV,59,54,73,54,70,52,75,72,74,72,78,85,73,57,69,66,75
915,J. Izquierdo,Brighton & Hove Albion,70,71,60,54,81,75,78,92,84,80,67,74,59,77,75,71,48
916,S. Sydorchuk,Dynamo Kyiv,50,63,46,31,70,40,77,68,48,47,59,78,73,72,69,76,72
917,C. Grenier,Stade Rennais FC,79,72,73,74,75,79,81,55,74,83,54,66,73,80,78,80,60
918,T. Strobl,Borussia Mönchengladbach,51,30,69,35,59,44,58,51,44,79,70,73,78,62,55,66,81
919,V. Odjidja-Ofoe,KAA Gent,70,69,68,78,76,64,78,59,51,82,74,75,83,76,69,81,60
